order_id,date,region,product,quantity,unit_price,revenue
1000,2024-01-01,South,Laptop,1,1170.68,1170.68
1000,2024-01-01,South,Mouse,3,25.41,76.23
1001,2024-01-01,South,Mouse,4,24.59,98.36
1002,2024-01-01,South,Tablet,4,455.91,1823.64
1003,2024-01-01,North,Headphones,1,81.23,81.23
1004,2024-01-01,West,Monitor,1,222.49,222.49
1005,2024-01-01,South,Printer,2,141.14,282.28
1005,2024-01-01,South,Headphones,3,80.96,242.88
1006,2024-01-01,South,Headphones,2,77.96,155.92
1007,2024-01-01,North,Laptop,2,1099.21,2198.42
1007,2024-01-01,North,Tablet,4,527.72,2110.88
1007,2024-01-01,North,Smartphone,4,777.85,3111.4
1008,2024-01-01,South,Monitor,1,223.27,223.27
1009,2024-01-01,West,Smartphone,3,817.43,2452.29
1009,2024-01-01,West,Mouse,1,25.06,25.06
1010,2024-01-01,South,Keyboard,4,44.3,177.2
1010,2024-01-01,South,Mouse,3,24.2,72.6
1011,2024-01-01,East,Smartphone,4,731.0,2924.0
1011,2024-01-01,East,Mouse,3,24.87,74.61
1011,2024-01-01,East,Mouse,1,26.16,26.16
1012,2024-01-01,East,Headphones,4,76.55,306.2
1012,2024-01-01,East,Printer,3,126.63,379.89
1012,2024-01-01,East,Smartphone,3,746.89,2240.67
1013,2024-01-01,North,Laptop,2,1159.01,2318.02
1013,2024-01-01,North,Keyboard,2,44.08,88.16
1014,2024-01-01,West,Keyboard,4,44.11,176.44
1015,2024-01-01,East,Printer,3,145.78,437.34
1016,2024-01-01,East,Printer,2,130.23,260.46
1016,2024-01-01,East,Keyboard,2,42.59,85.18
1016,2024-01-01,East,Monitor,1,219.34,219.34
1017,2024-01-01,South,Desk,1,185.83,185.83
1017,2024-01-01,South,Tablet,3,510.98,1532.94
1018,2024-01-01,East,Tablet,1,495.66,495.66
1019,2024-01-01,West,Printer,4,128.9,515.6
1019,2024-01-01,West,Printer,1,131.34,131.34
1020,2024-01-02,West,Mouse,3,25.5,76.5
1021,2024-01-02,North,Headphones,2,80.59,161.18
1022,2024-01-02,East,Laptop,1,1182.35,1182.35
1022,2024-01-02,East,Headphones,4,74.38,297.52
1022,2024-01-02,East,Desk,3,204.09,612.27
1023,2024-01-02,West,Mouse,4,27.47,109.88
1024,2024-01-02,West,Smartphone,3,733.74,2201.22
1024,2024-01-02,West,Mouse,3,26.2,78.6
1025,2024-01-02,West,Keyboard,1,42.35,42.35
1025,2024-01-02,West,Tablet,3,464.66,1393.98
1025,2024-01-02,West,Tablet,1,525.81,525.81
1026,2024-01-02,East,Mouse,3,25.09,75.27
1026,2024-01-02,East,Keyboard,3,47.45,142.35
1026,2024-01-02,East,Tablet,3,513.64,1540.92
1027,2024-01-02,South,Printer,2,131.6,263.2
1028,2024-01-02,West,Laptop,1,1163.83,1163.83
1028,2024-01-02,West,Smartphone,3,750.98,2252.94
1029,2024-01-02,East,Chair,3,146.58,439.74
1029,2024-01-02,East,Mouse,2,24.85,49.7
1030,2024-01-02,East,Smartphone,1,796.72,796.72
1031,2024-01-02,East,Mouse,1,27.05,27.05
1031,2024-01-02,East,Monitor,4,237.12,948.48
1031,2024-01-02,East,Printer,3,128.43,385.29
1032,2024-01-02,West,Printer,1,146.29,146.29
1032,2024-01-02,West,Keyboard,2,40.75,81.5
1033,2024-01-02,West,Keyboard,4,46.42,185.68
1033,2024-01-02,West,Chair,2,161.56,323.12
1033,2024-01-02,West,Keyboard,1,40.63,40.63
1034,2024-01-02,North,Keyboard,4,49.38,197.52
1034,2024-01-02,North,Monitor,2,199.23,398.46
1034,2024-01-02,North,Monitor,3,220.05,660.15
1035,2024-01-02,East,Tablet,4,533.42,2133.68
1035,2024-01-02,East,Laptop,3,1187.49,3562.47
1036,2024-01-03,West,Keyboard,2,45.21,90.42
1036,2024-01-03,West,Laptop,4,1160.83,4643.32
1036,2024-01-03,West,Headphones,1,84.42,84.42
